6;Yorick;8048;2;Viego;5671;7;Velkoz;8345;7;Jhin;5555;3;MissFortune;5745;1;Singed;4356;-1;LeeSin;5328;3;Ashe;6412;7;Vayne;4068;0;Malphite;3469;True
5;Irelia;23768;7;Lillia;18544;7;Ahri;14468;3;Caitlyn;13171;0;Malphite;16601;7;Volibear;17764;7;Graves;18704;7;Yasuo;16217;7;MissFortune;18215;7;Lux;16368;False
3;Poppy;21653;0;MasterYi;19939;1;Lux;21918;6;MissFortune;22040;0;Malphite;22399;6;Mordekaiser;25090;1;MonkeyKing;21380;2;Heimerdinger;22332;7;Ezreal;21413;0;Nautilus;19150;False
6;Urgot;18568;7;Kayn;18904;7;Yone;18489;1;MissFortune;14074;7;Senna;14728;7;Mordekaiser;19495;7;Amumu;18792;7;Zed;19719;7;Jhin;17326;0;Malphite;19096;False
0;Mordekaiser;16922;5;Volibear;13466;3;Syndra;7157;6;Caitlyn;10429;1;Galio;9239;1;Trundle;13475;1;Evelynn;14484;5;Yone;15506;7;MissFortune;14139;0;Malphite;12664;False
6;Urgot;4516;5;Nocturne;4542;5;Yasuo;7034;7;Senna;4520;4;Pyke;4140;5;Volibear;9448;10;Viego;7497;10;Diana;7379;5;Jhin;6650;0;Blitzcrank;5159;False
2;Kayle;15211;6;Viego;15809;4;TwistedFate;21527;7;MissFortune;17044;7;Velkoz;13861;7;Yone;18139;7;Lillia;12497;2;MasterYi;15333;7;Tristana;11825;0;Blitzcrank;10897;True
2;Chogath;16729;7;MasterYi;18379;7;Xayah;15574;1;Jinx;13839;0;Sona;14353;0;Teemo;18116;2;Kayn;11990;7;Yasuo;14225;1;Kaisa;14028;6;Malphite;11365;True
7;Olaf;18347;7;MasterYi;14453;7;Lucian;16699;5;Caitlyn;12194;2;Ashe;12224;1;Camille;15019;6;Volibear;15383;6;Kayle;18088;5;Kalista;16546;0;Garen;19692;False
6;Yorick;8048;2;Viego;5671;7;Velkoz;8345;7;Jhin;5555;3;MissFortune;5745;1;Singed;4356;-1;LeeSin;5328;3;Ashe;6412;7;Vayne;4068;0;Malphite;3469;True
5;Irelia;23768;7;Lillia;18544;7;Ahri;14468;3;Caitlyn;13171;0;Malphite;16601;7;Volibear;17764;7;Graves;18704;7;Yasuo;16217;7;MissFortune;18215;7;Lux;16368;False
3;Poppy;21653;0;MasterYi;19939;1;Lux;21918;6;MissFortune;22040;0;Malphite;22399;6;Mordekaiser;25090;1;MonkeyKing;21380;2;Heimerdinger;22332;7;Ezreal;21413;0;Nautilus;19150;False
6;Urgot;18568;7;Kayn;18904;7;Yone;18489;1;MissFortune;14074;7;Senna;14728;7;Mordekaiser;19495;7;Amumu;18792;7;Zed;19719;7;Jhin;17326;0;Malphite;19096;False
0;Mordekaiser;16922;5;Volibear;13466;3;Syndra;7157;6;Caitlyn;10429;1;Galio;9239;1;Trundle;13475;1;Evelynn;14484;5;Yone;15506;7;MissFortune;14139;0;Malphite;12664;False
6;Urgot;4516;5;Nocturne;4542;5;Yasuo;7034;7;Senna;4520;4;Pyke;4140;5;Volibear;9448;10;Viego;7497;10;Diana;7379;5;Jhin;6650;0;Blitzcrank;5159;False
2;Kayle;15211;6;Viego;15809;4;TwistedFate;21527;7;MissFortune;17044;7;Velkoz;13861;7;Yone;18139;7;Lillia;12497;2;MasterYi;15333;7;Tristana;11825;0;Blitzcrank;10897;True
2;Chogath;16729;7;MasterYi;18379;7;Xayah;15574;1;Jinx;13839;0;Sona;14353;0;Teemo;18116;2;Kayn;11990;7;Yasuo;14225;1;Kaisa;14028;6;Malphite;11365;True
